employee_id,gender,age,years_experience,education_level,department,job_title,job_level,city,performance_rating,manager_rating,months_since_promotion,variable_pay_pct,ctc
EMP00001,Female,23,1,Central University,Customer Support,Customer Support Executive,1,Bangalore,4.9,2.5,74,5.2,5.19
EMP00002,Male,36,13,Central University,Product,Director of Product,5,Indore,3.1,4.6,16,11.2,35.26
EMP00003,Female,36,13,IIIT,Sales,Key Account Manager,4,Indore,4.3,3.0,27,22.6,22.06
EMP00004,Female,27,4,Central University,HR,HR Business Partner,2,Kochi,5.0,3.4,2,10.2,6.44
EMP00005,Male,33,8,IIM,Marketing,Content Strategist,4,Jaipur,3.2,3.8,1,14.7,20.54
EMP00006,Female,27,5,Tier-2 Private,Operations,Supply Chain Analyst,3,Pune,3.3,,21,6.8,9.04
EMP00007,Female,31,7,State University,Marketing,Digital Marketing Manager,3,Ranchi,3.2,2.9,15,16.3,7.5
EMP00008,Female,24,2,IIT,Sales,Sales Executive,1,Mumbai,3.7,3.0,16,25.9,7.2
EMP00009,Male,34,9,IIM,Customer Support,Customer Success Manager,2,Delhi,5.0,5.0,8,7.6,16.45
EMP00010,Male,27,1,NIT,Product,Product Manager,1,Hyderabad,3.6,2.6,1,17.3,7.07
EMP00011,Male,25,1,State University,Data Science,Data Analyst,1,Mumbai,3.1,3.1,2,9.6,7.1
EMP00012,Female,29,5,Tier-2 Private,Operations,Operations Executive,2,Vadodara,3.4,2.4,6,8.8,7.27
EMP00013,Female,29,5,Tier-2 Private,Customer Support,Support Team Lead,1,Vadodara,4.4,3.1,92,9.4,4.99
EMP00014,Female,30,7,Diploma,Legal,Senior Legal Counsel,2,Kochi,1.2,2.6,11,8.3,6.23
EMP00015,Male,27,3,Distance Learning,Marketing,Marketing Manager,1,Hyderabad,3.8,4.4,5,17.1,6.53
EMP00016,Male,49,22,Central University,Legal,Company Secretary,6,Bangalore,3.3,4.7,1,9.3,50.0
EMP00017,Male,28,6,State University,Customer Support,Customer Success Manager,2,Kochi,3.0,3.5,9,7.4,7.27
EMP00018,Male,33,7,Tier-2 Private,Product,Product Manager,3,Hyderabad,2.1,2.8,4,17.8,10.99
EMP00019,Female,28,6,IIM,Data Science,Senior Data Scientist,3,Chennai,4.0,4.5,33,11.5,13.98
EMP00020,Female,34,12,Distance Learning,Customer Support,Customer Success Manager,5,Thiruvananthapuram,3.3,2.7,11,5.8,14.32
EMP00021,Female,32,9,State University,Data Science,ML Engineer,3,Lucknow,3.9,3.4,5,8.9,10.39
EMP00022,Male,31,8,State University,Engineering,Lead Engineer,3,Thiruvananthapuram,2.6,,4,13.5,11.35
EMP00023,Female,33,10,Central University,Finance,Controller,3,Chandigarh,2.0,2.6,1,10.2,8.24
EMP00024,Female,28,1,State University,Sales,Sales Executive,1,Indore,2.5,3.0,30,34.4,4.64
