job_level,career_velocity,city_tier,education_tier,performance_rating,manager_rating,manager_rating_missing,months_since_promotion,variable_pay_pct,department,gender,actual_log_salary,predicted_log_salary,residual_log_salary,shap_gender_effect,shap_manager_effect
1,0.25,1,2,3.9,4.1,0,37,5.9,Operations,Male,1.9919755158985601,2.1735722881012607,-0.18159677220270054,0.10202726192746188,0.026632541356290194
1,0.3333,3,3,3.1,3.0,0,20,5.5,Customer Support,Female,1.6486586255873816,1.5768254219121054,0.07183320367527624,-0.13841839609298962,-0.00818669458307927
2,0.3333,1,3,4.0,3.4,0,8,16.7,Product,Male,2.6769034721053733,2.4929183118647744,0.18398516024059886,0.109030339656959,-0.0023997165621245852
2,0.6667,2,2,3.7,3.8,0,33,11.8,Product,Female,2.1186622548331173,2.078045006977144,0.040617247855973204,-0.14906920711085378,0.012768383856768437
3,0.4286,1,3,3.6,4.1,0,8,11.3,Engineering,Male,2.551006451492524,2.779098962443504,-0.22809251095097993,0.1003250518179232,0.0405403253192704
4,0.3077,1,3,2.3,3.3,0,1,6.1,Customer Support,Female,2.837908188360424,2.74592566394061,0.09198252441981358,-0.14595668788034938,-0.006675003240595945
1,0.3333,1,3,3.0,3.5,1,3,16.1,Finance,Female,1.8468787684491346,1.7847482934603531,0.06213047498878144,-0.1390816434506528,0.004445707853593551
2,2.0,2,4,4.7,3.0,0,9,24.4,Sales,Male,2.048982334195127,2.1118701154778576,-0.06288778128273043,0.10732535070060831,-0.016040359723887815
1,0.5,2,3,4.1,2.6,0,8,10.0,HR,Male,1.8825138324965192,1.8741719244952773,0.008341908001241904,0.10118424841958569,-0.019409508964840394
2,0.4,1,3,2.2,2.8,0,1,6.2,Operations,Female,2.1114245875328868,1.8722924125906861,0.23913217494220063,-0.1485459327896031,-0.03408510541426966
3,0.3333,3,3,3.9,3.5,1,5,22.8,Marketing,Male,2.5847519847577165,2.562769759500056,0.02198222525766047,0.10950423298984792,0.0030238801571157267
1,0.2,3,4,3.6,3.7,0,13,7.9,HR,Male,2.299580583973747,1.9576677418153754,0.3419128421583715,0.10257368789373812,0.01153807509447445
1,0.5,3,4,3.4,2.4,0,11,11.9,Data Science,Female,1.5686159179138452,1.6184188195024258,-0.049802901588580584,-0.14266213594266636,-0.03755136367477873
1,0.3333,2,1,4.3,3.7,0,2,9.0,Data Science,Male,2.224623551524334,2.2628131702939838,-0.03818961876964977,0.10198258737234778,0.01349982557651307
3,0.25,1,3,4.0,3.9,0,10,9.6,Operations,Male,2.9668182633893485,2.854283850306921,0.11253441308242751,0.10456326176857768,0.01685812376483556
2,0.2857,3,3,2.5,3.5,1,10,14.9,Data Science,Male,2.3749057545736716,2.2941073963105896,0.08079835826308202,0.10166316307872095,0.01058623409722126
1,1.0,2,3,4.7,3.0,0,17,8.6,Data Science,Male,1.8809906029559975,2.050123746339089,-0.16913314338309138,0.10939985143822244,-0.007007155149345834
2,0.3333,1,3,3.5,4.4,0,13,14.5,Legal,Male,2.5185025992165158,2.4394783284934776,0.07902427072303819,0.10906628614427165,0.03813627628806599
4,0.2857,1,4,4.2,2.2,0,4,15.8,Finance,Male,3.01651481273652,3.150289235033559,-0.1337744222970394,0.10702244981351158,-0.04220755686176249
1,0.3333,3,3,3.8,3.5,1,33,9.9,Data Science,Male,2.1004689088719113,2.0044246370269416,0.09604427184496966,0.10185107425418936,0.003222898279079153
2,0.4,3,3,4.9,3.5,0,6,14.3,Product,Female,2.0731719286662407,2.068494454930974,0.004677473735266613,-0.1454281853753801,0.007602900946410725
3,0.6,2,1,3.2,3.8,0,80,9.1,Data Science,Male,2.9575110607337933,2.726866605884078,0.23064445484971552,0.10031418752628703,0.005096731910857543
2,0.4,1,3,3.3,3.8,0,1,12.0,Finance,Male,2.349468678892896,2.364343771350668,-0.014875092457772077,0.10008816409408888,0.010608104625893778
2,0.5,1,3,2.9,3.5,1,6,20.1,Marketing,Male,2.2617630984737906,2.228268580809632,0.033494517664158785,0.10506570600021777,0.012130849681727103
1,0.5,2,3,5.0,4.0,0,47,27.9,Sales,Female,1.62924053973028,1.7047534117371517,-0.07551287200687162,-0.1378270769645296,0.016072264611377778
1,0.3333,3,4,1.9,3.4,0,27,13.8,Engineering,Male,1.8453002361560848,1.8003929637036509,0.04490727245243398,0.10149978233156422,-0.0003117769311511696
1,0.3333,1,3,4.4,4.0,0,1,9.8,Data Science,Male,2.341805806147327,2.2567295218399215,0.08507628430740555,0.10663981739204154,0.030203725173756024
6,0.3158,1,2,3.5,4.0,0,57,7.1,Customer Support,Male,3.912023005428146,3.7690013768188195,0.14302162860932643,0.09855269642814385,0.02231747213735835
2,0.2857,3,3,3.4,4.2,0,10,9.1,Legal,Male,2.2126603854660587,2.3288391720495714,-0.11617878658351266,0.1067038404031518,0.03968998179955561
4,0.2667,1,4,4.1,2.7,0,8,20.5,Sales,Female,2.9396908826703663,2.9700144412240896,-0.030323558553723373,-0.14432160626672613,-0.02593281573945245
1,0.5,1,4,4.3,3.8,0,7,15.7,Marketing,Male,1.5933085305042167,1.9873165861811943,-0.3940080556769776,0.10677320754875665,0.0034732235248418775
2,0.3333,1,4,4.2,2.8,0,2,12.9,Marketing,Female,2.1186622548331173,2.0985182725024156,0.020143982330701693,-0.15325392663855184,-0.03221373669258706
